Time,MSD
0.000000000000000000e+00,2.445394027272840437e-19
1.001001001001000992e-02,1.886949089777454591e-13
2.002002002002001985e-02,3.675449468909696700e-13
3.003003003003002977e-02,5.398068448809532965e-13
4.004004004004003969e-02,7.066478876496006577e-13
5.005005005005004615e-02,8.687459018251555080e-13
6.006006006006005954e-02,1.026560685514248142e-12
7.007007007007007293e-02,1.180431810797722365e-12
8.008008008008007939e-02,1.330624119589016195e-12
9.009009009009008584e-02,1.477352227782301995e-12
1.001001001001000923e-01,1.620795072783033481e-12
1.101101101101101126e-01,1.761105176893593528e-12
1.201201201201201191e-01,1.898414867894436722e-12
1.301301301301301394e-01,2.032840634914184548e-12
1.401401401401401459e-01,2.164486283886028190e-12
1.501501501501501523e-01,2.293445288627431214e-12
1.601601601601601588e-01,2.419802584554895856e-12
1.701701701701701652e-01,2.543635964951062520e-12
1.801801801801801717e-01,2.665017186622583392e-12
1.901901901901901781e-01,2.784012858291406023e-12
2.002002002002001846e-01,2.900685163296775532e-12
2.102102102102102188e-01,3.015092453684227340e-12
2.202202202202202252e-01,3.127289742882317173e-12
2.302302302302302317e-01,3.237329117306871134e-12
2.402402402402402382e-01,3.345260082375899515e-12
2.502502502502502724e-01,3.451129854917998264e-12
2.602602602602602788e-01,3.554983611389389999e-12
2.702702702702702853e-01,3.656864699398476235e-12
2.802802802802802917e-01,3.756814818582682706e-12
2.902902902902902982e-01,3.854874175761007071e-12
3.003003003003003046e-01,3.951081618408125696e-12
3.103103103103103111e-01,4.045474749799542031e-12
3.203203203203203175e-01,4.138090028617868082e-12
3.303303303303303240e-01,4.228962855356240253e-12
3.403403403403403304e-01,4.318127647482693259e-12
3.503503503503503369e-01,4.405617905021918878e-12
3.603603603603603434e-01,4.491466267955386102e-12
3.703703703703703498e-01,4.575704566627187161e-12
3.803803803803803563e-01,4.658363866163800393e-12
3.903903903903903627e-01,4.739474505764882577e-12
4.004004004004003692e-01,4.819066133594664824e-12
4.104104104104104311e-01,4.897167737895523326e-12
4.204204204204204376e-01,4.973807674853649675e-12
4.304304304304304440e-01,5.049013693668954094e-12
4.404404404404404505e-01,5.122812959215070860e-12
4.504504504504504570e-01,5.195232072619111113e-12
4.604604604604604634e-01,5.266297090042696073e-12
4.704704704704704699e-01,5.336033539904993154e-12
4.804804804804804763e-01,5.404466438753562992e-12
4.904904904904904828e-01,5.471620305959069551e-12
5.005005005005005447e-01,5.537519177384542334e-12
5.105105105105105512e-01,5.602186618158216339e-12
5.205205205205205576e-01,5.665645734660455928e-12
5.305305305305305641e-01,5.727919185819517587e-12
5.405405405405405705e-01,5.789029193797380890e-12
5.505505505505505770e-01,5.848997554135405479e-12
5.605605605605605835e-01,5.907845645419699028e-12
5.705705705705705899e-01,5.965594438517693036e-12
5.805805805805805964e-01,6.022264505430242005e-12
5.905905905905906028e-01,6.077876027797419895e-12
6.006006006006006093e-01,6.132448805090950834e-12
6.106106106106106157e-01,6.186002262521713278e-12
6.206206206206206222e-01,6.238555458686922177e-12
6.306306306306306286e-01,6.290127092978349657e-12
6.406406406406406351e-01,6.340735512770064913e-12
6.506506506506506415e-01,6.390398720401851593e-12
6.606606606606606480e-01,6.439134379972347805e-12
6.706706706706706544e-01,6.486959823954232425e-12
6.806806806806806609e-01,6.533892059642217524e-12
6.906906906906906674e-01,6.579947775443407154e-12
7.007007007007006738e-01,6.625143347018335490e-12
7.107107107107106803e-01,6.669494843280200850e-12
7.207207207207206867e-01,6.713018032258858111e-12
7.307307307307306932e-01,6.755728386835511648e-12
7.407407407407406996e-01,6.797641090353408722e-12
7.507507507507507061e-01,6.838771042109323552e-12
7.607607607607607125e-01,6.879132862730168284e-12
7.707707707707707190e-01,6.918740899438670486e-12
7.807807807807807254e-01,6.957609231211736876e-12
7.907907907907907319e-01,6.995751673834815245e-12
8.008008008008007383e-01,7.033181784855311275e-12
8.108108108108108558e-01,7.069912868437923852e-12
8.208208208208208623e-01,7.105957980124514543e-12
8.308308308308308687e-01,7.141329931501031530e-12
8.408408408408408752e-01,7.176041294773773258e-12
8.508508508508508816e-01,7.210104407257249575e-12
8.608608608608608881e-01,7.243531375775663901e-12
8.708708708708708945e-01,7.276334080980054463e-12
8.808808808808809010e-01,7.308524181582949318e-12
8.908908908908909074e-01,7.340113118512364798e-12
9.009009009009009139e-01,7.371112118986885759e-12
9.109109109109109204e-01,7.401532200513469866e-12
9.209209209209209268e-01,7.431384174809635947e-12
9.309309309309309333e-01,7.460678651651555052e-12
9.409409409409409397e-01,7.489426042649548341e-12
9.509509509509509462e-01,7.517636564952482978e-12
9.609609609609609526e-01,7.545320244882461900e-12
9.709709709709709591e-01,7.572486921501174259e-12
9.809809809809809655e-01,7.599146250109286233e-12
9.909909909909909720e-01,7.625307705680129141e-12
1.001001001001001089e+00,7.650980586229011256e-12
1.011011011011011096e+00,7.676174016119340776e-12
1.021021021021021102e+00,7.700896949306833036e-12
1.031031031031031109e+00,7.725158172522931248e-12
1.041041041041041115e+00,7.748966308398654084e-12
1.051051051051051122e+00,7.772329818529954163e-12
1.061061061061061128e+00,7.795257006485739341e-12
1.071071071071071135e+00,7.817756020759619875e-12
1.081081081081081141e+00,7.839834857666457441e-12
1.091091091091091148e+00,7.861501364184740275e-12
1.101101101101101154e+00,7.882763240745831357e-12
1.111111111111111160e+00,7.903628043971078357e-12
1.121121121121121167e+00,7.924103189357757943e-12
1.131131131131131173e+00,7.944195953914825413e-12
1.141141141141141180e+00,7.963913478749408300e-12
1.151151151151151186e+00,7.983262771604984234e-12
1.161161161161161193e+00,8.002250709352113857e-12
1.171171171171171199e+00,8.020884040432656131e-12
1.181181181181181206e+00,8.039169387258312622e-12
1.191191191191191212e+00,8.057113248564369931e-12
1.201201201201201219e+00,8.074722001719469076e-12
1.211211211211211225e+00,8.092001904992227392e-12
1.221221221221221231e+00,8.108959099775528807e-12
1.231231231231231238e+00,8.125599612769258002e-12
1.241241241241241244e+00,8.141929358122281366e-12
1.251251251251251251e+00,8.157954139534395337e-12
1.261261261261261257e+00,8.173679652319038575e-12
1.271271271271271264e+00,8.189111485427469168e-12
1.281281281281281270e+00,8.204255123435132239e-12
1.291291291291291277e+00,8.219115948490933680e-12
1.301301301301301283e+00,8.233699242230109860e-12
1.311311311311311290e+00,8.248010187651365387e-12
1.321321321321321296e+00,8.262053870958962331e-12
1.331331331331331302e+00,8.275835283370394204e-12
1.341341341341341309e+00,8.289359322890307095e-12
1.351351351351351315e+00,8.302630796051294808e-12
1.361361361361361322e+00,8.315654419622172230e-12
1.371371371371371328e+00,8.328434822284350544e-12
1.381381381381381335e+00,8.340976546276915291e-12
1.391391391391391341e+00,8.353284049010959813e-12
1.401401401401401348e+00,8.365361704653787983e-12
1.411411411411411354e+00,8.377213805683525857e-12
1.421421421421421361e+00,8.388844564414691520e-12
1.431431431431431367e+00,8.400258114495293443e-12
1.441441441441441373e+00,8.411458512375945260e-12
1.451451451451451380e+00,8.422449738751562408e-12
1.461461461461461386e+00,8.433235699976133398e-12
1.471471471471471393e+00,8.443820229451053616e-12
1.481481481481481399e+00,8.454207088987549951e-12
1.491491491491491406e+00,8.464399970143653468e-12
1.501501501501501412e+00,8.474402495536201561e-12
1.511511511511511419e+00,8.484218220128339731e-12
1.521521521521521425e+00,8.493850632492985043e-12
1.531531531531531432e+00,8.503303156052679388e-12
1.541541541541541438e+00,8.512579150296305928e-12
1.551551551551551444e+00,8.521681911973067763e-12
1.561561561561561451e+00,8.530614676264173114e-12
1.571571571571571457e+00,8.539380617932645453e-12
1.581581581581581464e+00,8.547982852451656024e-12
1.591591591591591470e+00,8.556424437111774557e-12
1.601601601601601477e+00,8.564708372107561480e-12
1.611611611611611705e+00,8.572837601603847348e-12
1.621621621621621712e+00,8.580815014782117934e-12
1.631631631631631718e+00,8.588643446867339406e-12
1.641641641641641725e+00,8.596325680135619407e-12
1.651651651651651731e+00,8.603864444903051399e-12
1.661661661661661737e+00,8.611262420496079910e-12
1.671671671671671744e+00,8.618522236203751832e-12
1.681681681681681750e+00,8.625646472212184938e-12
1.691691691691691757e+00,8.632637660521583220e-12
1.701701701701701763e+00,8.639498285846126998e-12
1.711711711711711770e+00,8.646230786497052852e-12
1.721721721721721776e+00,8.652837555249249709e-12
1.731731731731731783e+00,8.659320940191661908e-12
1.741741741741741789e+00,8.665683245561822347e-12
1.751751751751751796e+00,8.671926732564788758e-12
1.761761761761761802e+00,8.678053620176790059e-12
1.771771771771771808e+00,8.684066085933870367e-12
1.781781781781781815e+00,8.689966266705789163e-12
1.791791791791791821e+00,8.695756259455494264e-12
1.801801801801801828e+00,8.701438121984382474e-12
1.811811811811811834e+00,8.707013873663659720e-12
1.821821821821821841e+00,8.712485496152044642e-12
1.831831831831831847e+00,8.717854934100056329e-12
1.841841841841841854e+00,8.723124095841157657e-12
1.851851851851851860e+00,8.728294854069990069e-12
1.861861861861861867e+00,8.733369046507940552e-12
1.871871871871871873e+00,8.738348476556279887e-12
1.881881881881881879e+00,8.743234913937109693e-12
1.891891891891891886e+00,8.748030095322321800e-12
1.901901901901901892e+00,8.752735724950830088e-12
1.911911911911911899e+00,8.757353475234265412e-12
1.921921921921921905e+00,8.761884987351367875e-12
1.931931931931931912e+00,8.766331871831263873e-12
1.941941941941941918e+00,8.770695709125860536e-12
1.951951951951951925e+00,8.774978050171556291e-12
1.961961961961961931e+00,8.779180416940442040e-12
1.971971971971971938e+00,8.783304302981233652e-12
1.981981981981981944e+00,8.787351173950073123e-12
1.991991991991991950e+00,8.791322468131447179e-12
2.002002002002002179e+00,8.795219596949352580e-12
2.012012012012012185e+00,8.799043945468932700e-12
2.022022022022022192e+00,8.802796872888732383e-12
2.032032032032032198e+00,8.806479713023771419e-12
2.042042042042042205e+00,8.810093774779588510e-12
2.052052052052052211e+00,8.813640342617435041e-12
