Time,MSD
0.000000000000000000e+00,3.079403398942304772e-23
1.001001001001000992e-02,8.886933584586783509e-14
2.002002002002001985e-02,1.684348019519131107e-13
3.003003003003002977e-02,2.419435375027020689e-13
4.004004004004003969e-02,3.105542960907654608e-13
5.005005005005004615e-02,3.749369254609688205e-13
6.006006006006005954e-02,4.355442223716758063e-13
7.007007007007007293e-02,4.927109313706333267e-13
8.008008008008007939e-02,5.467006785902123245e-13
9.009009009009008584e-02,5.977315334616928370e-13
1.001001001001000923e-01,6.459909668705070216e-13
1.101101101101101126e-01,6.916449375726830357e-13
1.201201201201201191e-01,7.348435401704403742e-13
1.301301301301301394e-01,7.757245854591349715e-13
1.401401401401401459e-01,8.144159210894511956e-13
1.501501501501501523e-01,8.510369786286025911e-13
1.601601601601601588e-01,8.856998421634357410e-13
1.701701701701701652e-01,9.185100184448203379e-13
1.801801801801801717e-01,9.495670186446567088e-13
1.901901901901901781e-01,9.789648191972941355e-13
2.002002002002001846e-01,1.006792243207682010e-12
2.102102102102102188e-01,1.033133288038633459e-12
2.202202202202202252e-01,1.058067414991087408e-12
2.302302302302302317e-01,1.081669811058412476e-12
2.402402402402402382e-01,1.104011629101204681e-12
2.502502502502502724e-01,1.125160210557587208e-12
2.602602602602602788e-01,1.145179293429450114e-12
2.702702702702702853e-01,1.164129207434050436e-12
2.802802802802802917e-01,1.182067057679521930e-12
2.902902902902902982e-01,1.199046897887902200e-12
3.003003003003003046e-01,1.215119893974532599e-12
3.103103103103103111e-01,1.230334478651791800e-12
3.203203203203203175e-01,1.244736497629838359e-12
3.303303303303303240e-01,1.258369347920082670e-12
3.403403403403403304e-01,1.271274108697898893e-12
3.503503503503503369e-01,1.283489665143172065e-12
3.603603603603603434e-01,1.295052825646642421e-12
3.703703703703703498e-01,1.305998432744258955e-12
3.803803803803803563e-01,1.316359468119325021e-12
3.903903903903903627e-01,1.326167151992197219e-12
4.004004004004003692e-01,1.335451037199072786e-12
4.104104104104104311e-01,1.344239098244603612e-12
4.204204204204204376e-01,1.352557815597431920e-12
4.304304304304304440e-01,1.360432255483121561e-12
4.404404404404404505e-01,1.367886145415200538e-12
4.504504504504504570e-01,1.374941945692082660e-12
4.604604604604604634e-01,1.381620917075410058e-12
4.704704704704704699e-01,1.387943184853811722e-12
4.804804804804804763e-01,1.393927799485158870e-12
4.904904904904904828e-01,1.399592794000066528e-12
5.005005005005005447e-01,1.404955238339629500e-12
5.105105105105105512e-01,1.410031290791130864e-12
5.205205205205205576e-01,1.414836246676720013e-12
5.305305305305305641e-01,1.419384584441769467e-12
5.405405405405405705e-01,1.423690009281789579e-12
5.505505505505505770e-01,1.427765494439363061e-12
5.605605605605605835e-01,1.431623320295530843e-12
5.705705705705705899e-01,1.435275111373426782e-12
5.805805805805805964e-01,1.438731871365660549e-12
5.905905905905906028e-01,1.442004016290992788e-12
6.006006006006006093e-01,1.445101405880213487e-12
6.106106106106106157e-01,1.448033373285794974e-12
6.206206206206206222e-01,1.450808753204843873e-12
6.306306306306306286e-01,1.453435908500088558e-12
6.406406406406406351e-01,1.455922755399124879e-12
6.506506506506506415e-01,1.458276787347840859e-12
6.606606606606606480e-01,1.460505097589908919e-12
6.706706706706706544e-01,1.462614400540369145e-12
6.806806806806806609e-01,1.464611052017719653e-12
6.906906906906906674e-01,1.466501068395469574e-12
7.007007007007006738e-01,1.468290144730866246e-12
7.107107107107106803e-01,1.469983671925423042e-12
7.207207207207206867e-01,1.471586752968953101e-12
7.307307307307306932e-01,1.473104218316061440e-12
7.407407407407406996e-01,1.474540640441423421e-12
7.507507507507507061e-01,1.475900347617709942e-12
7.607607607607607125e-01,1.477187436957675899e-12
7.707707707707707190e-01,1.478405786759711066e-12
7.807807807807807254e-01,1.479559068194050493e-12
7.907907907907907319e-01,1.480650756364861974e-12
8.008008008008007383e-01,1.481684140781538954e-12
