Time,MSD
0.000000000000000000e+00,2.753358094853553252e-19
1.002004008016032024e-02,5.364838711452570284e-13
2.004008016032064049e-02,1.018127110929184394e-12
3.006012024048096073e-02,1.463395146655208791e-12
4.008016032064128098e-02,1.878935050314250720e-12
5.010020040080159776e-02,2.268677369206664563e-12
6.012024048096192147e-02,2.635396716127792003e-12
7.014028056112224518e-02,2.981257390686666324e-12
8.016032064128256196e-02,3.308047794143446726e-12
9.018036072144287874e-02,3.617295991017783112e-12
1.002004008016031955e-01,3.910334388753293807e-12
1.102204408817635262e-01,4.188340329296965477e-12
1.202404809619238429e-01,4.452364004346272814e-12
1.302605210420841597e-01,4.703348958685713841e-12
1.402805611222444904e-01,4.942147840337482202e-12
1.503006012024047933e-01,5.169534876200610324e-12
1.603206412825651239e-01,5.386215973535626312e-12
1.703406813627254546e-01,5.592837037938012463e-12
1.803607214428857575e-01,5.789990917251350653e-12
1.903807615230460881e-01,5.978223266408650347e-12
2.004008016032063910e-01,6.158037551480814937e-12
2.104208416833667217e-01,6.329899357609913755e-12
2.204408817635270523e-01,6.494240126971703811e-12
2.304609218436873552e-01,6.651460424666042646e-12
2.404809619238476859e-01,6.801932809433837647e-12
2.505010020040079888e-01,6.946004370309059342e-12
2.605210420841683194e-01,7.083998978323450466e-12
2.705410821643286501e-01,7.216219293188403251e-12
2.805611222444889807e-01,7.342948557762716747e-12
2.905811623246493114e-01,7.464452207552049762e-12
3.006012024048095865e-01,7.580979318092166529e-12
3.106212424849699172e-01,7.692763909560688279e-12
3.206412825651302478e-01,7.800026125131907459e-12
3.306613226452905785e-01,7.902973297280733084e-12
3.406813627254509091e-01,8.001800914338798485e-12
3.507014028056111843e-01,8.096693498021145581e-12
3.607214428857715149e-01,8.187825401309399070e-12
3.707414829659318456e-01,8.275361534947137331e-12
3.807615230460921762e-01,8.359458029836708084e-12
3.907815631262525069e-01,8.440262841794211868e-12
4.008016032064127820e-01,8.517916304397690382e-12
4.108216432865731127e-01,8.592551635034568304e-12
4.208416833667334433e-01,8.664295398703297775e-12
4.308617234468937740e-01,8.733267933639586882e-12
4.408817635270541047e-01,8.799583742409781103e-12
4.509018036072144353e-01,8.863351851735315116e-12
4.609218436873747105e-01,8.924676143976089191e-12
4.709418837675350411e-01,8.983655662901693963e-12
4.809619238476953718e-01,9.040384896113171498e-12
4.909819639278557024e-01,9.094954036240326755e-12
5.010020040080159776e-01,9.147449222827368641e-12
5.110220440881763082e-01,9.197952766629807432e-12
5.210420841683366389e-01,9.246543357875489892e-12
5.310621242484969695e-01,9.293296259890534616e-12
5.410821643286573002e-01,9.338283489354233651e-12
5.511022044088176308e-01,9.381573984324688150e-12
5.611222444889779615e-01,9.423233761066912998e-12
5.711422845691382921e-01,9.463326060616487910e-12
5.811623246492986228e-01,9.501911485923109308e-12
5.911823647294588424e-01,9.539048130338714913e-12
6.012024048096191731e-01,9.574791698143135439e-12
6.112224448897795037e-01,9.609195617735740037e-12
6.212424849699398344e-01,9.642311148063515049e-12
6.312625250501001650e-01,9.674187478803761123e-12
6.412825651302604957e-01,9.704871824772462191e-12
6.513026052104208263e-01,9.734409514987064359e-12
6.613226452905811570e-01,9.762844076774040648e-12
6.713426853707414876e-01,9.790217315277192590e-12
6.813627254509018183e-01,9.816569388691520244e-12
6.913827655310621489e-01,9.841938879519298573e-12
7.014028056112223686e-01,9.866362862119715844e-12
7.114228456913826992e-01,9.889876966800365516e-12
7.214428857715430299e-01,9.912515440678261816e-12
7.314629258517033605e-01,9.934311205519080506e-12
7.414829659318636912e-01,9.955295912746514628e-12
7.515030060120240218e-01,9.975499995798049367e-12
7.615230460921843525e-01,9.994952719989606577e-12
